"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-03-29",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","77",",,0","39",",,0","48",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-03-30",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","73",",,0","47",",,0","56",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-03-31",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","71",",,0","46",",,0","57",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-01",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0",",,0","62",",,0","49",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-02",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","68",",,0","41",",,0","43",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-03",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","74",",,0","43",",,0","54",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-04",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","73",",,0","46",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-05",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","71",",,0","48",",,0","55",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-06",,,,,"0.34",",,0,0700","0.0","P,,0","0.0","P,,0","65",",,0","53",",,0","55",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-07",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","67",",,0","38",",,0","42",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-08",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","72",",,0","37",",,0","41",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-09",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","71",",,0","37",",,0","54",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-10",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","62",",,0","33",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-11",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","71",",,0","29",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-12",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","72",",,0","42",",,0","50",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-13",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","75",",,0","44",",,0","48",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-14",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","67",",,0","42",",,0","51",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-15",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","62",",,0","44",",,0","45",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-16",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","68",",,0","38",",,0","42",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-17",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","71",",,0","40",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-18",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","69",",,0","42",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-19",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","68",",,0","45",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-20",,,,,"0.17",",,0,0700","0.0","P,,0","0.0","P,,0","60",",,0","44",",,0","54",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-21",,,,,"0.05",",,0,0700","0.0","P,,0","0.0","P,,0","72",",,0","46",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-22",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","73",",,0","50",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-23",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","63",",,0","47",",,0","49",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-24",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","62",",,0","45",",,0","51",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-25",,,,,"0.00","T,,0,0700","0.0","P,,0","0.0","P,,0","55",",,0","42",",,0","46",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-26",,,,,"0.04",",,0,0700","0.0","P,,0","0.0","P,,0","72",",,0","45",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-27",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","75",",,0","45",",,0","55",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-28",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","82",",,0","43",",,0","53",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-29",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","84",",,0","46",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-04-30",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","78",",,0","49",",,0","52",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-05-01",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0",",,0","68",",,0","46",",,0","48",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-05-02",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","66",",,0","46",",,0","50",",,0,0700",,,,,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1991-05-03",,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0","74",",,0","43",",,0","48",",,0,0700",,,,,,,,
